לֶאֱבוֹד,le'ev(o)d
לִרְחוֹב,liRH(o)v
לְהַרְחִיב,lehaRH(i)v
לְהִתְרַחֵב,lehitRaH(e)v
לְרַחֵם,leRaH(e)m
לְהִתְרַחֵם,lehitRaH(e)m
לְרַחֵף,leRaH(e)f
לִרְחוֹץ,liRH(o)tz
לְהֵירָחֵץ,leheRaH(e)tz
לְהִתְרַחֵץ,lehitRaH(e)tz
לְהַרְחִיק,lehaRH(i)k
לְהִתְרַחֵק,lehitRaH(e)k
לְרַחֵק,leRaH(e)k
לְרַחְרֵחַ,leRaHR(e)aH
לִרְחוֹשׁ,liRH(o)x
לְהִתְרַחֵשׁ,lehitRaH(e)x
לְהֵירָטֵב,leheRat(e)v
לְהַרְטִיב,lehaRt(i)v
לְהִתְרַטֵּב,lehitRat(e)v
לְהַרְטִיט,lehaRt(i)t
לִרְטוֹט,liRt(o)t
לְרַטֵּט,leRat(e)t
לִרְטוֹן,liRt(o)n
לְרַטֵּשׁ,leRat(e)x
לָרִיב,laR(i)v
לְהָרִיחַ,lehaR(i)aH
לְהָרִיק,lehaR(i)k
לְרוֹקֵן,leRok(e)n
לְהִתְרוֹקֵן,lehitRok(e)n
לָרִיר,laR(i)R
לְרַייֵּר,leRay(e)R
לְרוֹשֵׁשׁ,leRox(e)x
לְהִתְרוֹשֵׁשׁ,lehitRox(e)x
לְהִתְרַכֵּב,lehitRak(e)v
לִרְכַּב,liRk(a)v
לְהַרְכִּיב,lehaRk(i)v
לְרַכֵּז,leRak(e)z
לְהִתְרַכֵּז,lehitRak(e)z
לְרַכֵּךְ,leRak(e)H
לְהִתְרַכֵּךְ,lehitRak(e)H
לְרַכֵל,leRaH(e)l
לִרְכּוֹל,liRk(o)l
לִרְכּוֹן,liRk(o)n
לְהַרְכִּין,lehaRk(i)n
לִרְכּוֹס,liRk(o)s
לִרְכּוֹשׁ,liRk(o)x
לְהֵירָכֵשׁ,leheRaH(e)x
לְרַמֵּז,leRam(e)z
לִרְמוֹז,liRm(o)z
לְהֵירָמֵז,leheRam(e)z
לְרַמּוֹת,leRam(o)t
לִרְמוֹת,liRm(o)t
לִרְמוֹס,liRm(o)s
לְהֵירָמֵס,leheRam(e)s
לִרְמוֹשׂ,liRm(o)s
לְהִתְרוֹנֵן,lehitRon(e)n
לְרַנֵּן,leRan(e)n
לְרַסֵּן,leRas(e)n
לְרַסֵּס,leRas(e)s
לְרַסֵּק,leRas(e)k
לְהִתְרַסֵּק,lehitRas(e)k
לִרְעוֹב,liR'(o)v
לְהַרְעִיב,lehaR'(i)v
לִרְעוֹד,liR'(o)d
לְהַרְעִיד,lehaR'(i)d
לְהֵירָעֵד,leheRa'(e)d
לִרְעוֹת,liR'(o)t
לְהַרְעִיל,lehaR'(i)l
לִרְעוֹם,liR'(o)m
לְהַרְעִים,lehaR'(i)m
לְהִתְרַעֵם,lehitRa'(e)m
לְרַעְנֵן,leRa'an(e)n
לְהִתְרַעְנֵן,lehitRa'an(e)n
לְהָרֵעַ,lehaR(e)a
לְהִתְרוֹעֵעַ,lehitRo'(e)a
לְהַרְעִיף,lehaR'(i)f
לִרְעוֹץ,liR'(o)tz
לְהֵירָעֵץ,leheRa'(e)tz
לִרְעוֹשׁ,liR'(o)x
לְהֵירָעֵשׁ,leheRa'(e)x
לְהַרְעִישׁ,lehaR'(i)x
לִרְפּוֹא,liRp(o)
לְהֵירָפֵא,leheRaf(e)
לְהִתְרַפֵּא,lehitRap(e)
לְרַפֵּא,leRap(e)
לְרַפֵּד,leRap(e)d
לְהִתְרַפֵּט,lehitRap(e)t
לְרַפֵּט,leRap(e)t
לִרְפּוֹת,liRp(o)t
לְרַפּוֹת,leRap(o)t
לְהַרְפּוֹת,lehaRp(o)t
לְהִתְרַפֵּס,lehitRap(e)s
לְהִתְרוֹפֵף,lehitRof(e)f
לְהִתְרַפֵּק,lehitRap(e)k
לְרַפְרֵף,leRafR(e)f
לְרַצֵּד,leRatz(e)d
לִרְצוֹחַ,liRtz(o)aH
לְהֵירָצֵחַ,leheRatz(e)aH
לִרְצוֹת,liRtz(o)t
לְהִתְרַצּוֹת,lehitRatz(o)t
לְהַרְצוֹת,lehaRtz(o)t
לְרַצּוֹת,leRatz(o)t
לְהַרְצִין,lehaRtz(i)n
לְרַצֵּף,leRatz(e)f
לְרוֹצֵץ,leRotz(e)tz
לִרְקוֹב,liRk(o)v
לְהֵירָקֵב,leheRak(e)v
לְהַרְקִיב,lehaRk(i)v
לִרְקוֹד,liRk(o)d
לְרַקֵּד,leRak(e)d
לְהַרְקִיד,lehaRk(i)d
לִרְקוֹחַ,liRk(o)aH
לְהִתְרַקֵּם,lehitRak(e)m
לְהֵירָקֵם,leheRak(e)m
לִרְקוֹם,liRk(o)m
לְהַרְקִיעַ,lehaRk(i)a
לְרַקֵּעַ,leRak(e)a
לִרְקוֹעַ,liRk(o)a
לְהַרְשׁוֹת,lehaRx(o)t
לְהִתְרַשֵּׁל,lehitRax(e)l
לְהֵירָשֵׁם,leheRax(e)m
לְהִתְרַשֵּׁם,lehitRax(e)m
לְהַרְשִׁים,lehaRx(i)m
לִרְשׁוֹם,liRx(o)m
לְהַרְשִׁיעַ,lehaRx(i)a
לִרְשׁוֹף,liRx(o)f
לְרַשְׁרֵשׁ,leRaxR(e)x
לְרוֹשֵׁשׁ,leRox(e)x
לְרוֹשֵׁשׁ,leRox(e)x
לִרְתּוֹחַ,liRt(o)aH
לְהַרְתִּיחַ,lehaRt(i)aH
לְהִתְרַתֵּחַ,lehitRat(e)aH
לְרַתּוֹת,leRat(o)t
לְרַתֵּךְ,leRat(e)H
לִרְתּוֹם,liRt(o)m
לְהֵירָתֵם,leheRat(e)m
לְהֵירָתֵעַ,leheRat(e)a
לְהַרְתִּיעַ,lehaRt(i)a
לְרַתֵּק,leRat(e)k
לִשְׁאוֹב,lix'(o)v
לְהִישָּׁאֵב,lehixa'(e)v
לִשְׁאוֹג,lix'(o)g
לְהִשְׁתָּאוֹת,lehixta'(o)t
לִשְׁאוֹל,lix'(o)l
לְהַשְׁאִיל,lehax'(i)l
לְהִישָּׁאֵל,lehixa'(e)l
לִשְׁאוֹף,lix'(o)f
לְהִישָּׁאֵף,lehixa'(e)f
לְהִישָּׁאֵר,lehixa'(e)R
לְהַשְׁאִיר,lehax'(i)R
לְהַשְׁבִּיחַ,lehaxb(i)aH
לְשַׁבֵּחַ,lexab(e)aH
לְהִשְׁתַּבֵּחַ,lehixtab(e)aH
לְשַׁבֵּט,lexab(e)t
לְהִישָּׁבוֹת,lehixav(o)t
לִשְׁבּוֹת,lixb(o)t
לִשְׂבּוֹעַ,lisb(o)a
לְהִישָּׁבֵעַ,lehixav(e)a
לְהַשְׁבִּיעַ,lehaxb(i)a
לְהַשְׂבִּיעַ,lehasb(i)a
לְהִשְׁתַּבֵּץ,lehixtab(e)tz
לְשַׁבֵּץ,lexab(e)tz
לִשְׁבּוֹק,lixb(o)k
לְשַׁבֵּר,lexab(e)R
לִשְׁבּוֹר,lixb(o)R
לְהִישָּׁבֵר,lehixav(e)R
לְהַשְׁבִּיר,lehaxb(i)R
לְהִשְׁתַּבֵּשׁ,lehixtab(e)x
לְשַׁבֵּשׁ,lexab(e)x
לְהַשְׁבִּית,lehaxb(i)t
לִשְׁבּוֹת,lixb(o)t
לִשְׁגּוֹג,lixg(o)g
לְהַשְׁגִּיחַ,lehaxg(i)aH
לִשְׁגּוֹת,lixg(o)t
לְהִשְׁתַּגֵּעַ,lehixtag(e)a
לְשַׁגֵּעַ,lexag(e)a
לְשַׁגֵּר,lexag(e)R
לְשַׂגְשֵׂג,lesags(e)g
לִשְׁדּוֹד,lixd(o)d
לְהִישָּׁדֵד,lehixad(e)d
לְשַׁדֵּךְ,lexad(e)H
לְהִשְׁתַּדֵּךְ,lehixtad(e)H
לְשַׁדֵּל,lexad(e)l
לְהִשְׁתַּדֵּל,lehixtad(e)l
לְשַׁדֵּר,lexad(e)R
לְשַׁדְרֵג,lexadR(e)g
לְהִשְׁתַּדְרֵג,lehixtadR(e)g
לִשְׁהוֹת,lixh(o)t
לְהַשְׁהוֹת,lehaxh(o)t
לְהִשְׁתַּהוֹת,lehixtah(o)t
לְשַׁהֵק,lexah(e)k
לְהָשִׁיב,lehax(i)v
לְהִשְׁתּוֹבֵב,lehixtov(e)v
לָשׁוּב,lax(u)v
לָשׂוּחַ,las(u)aH
לָשׁוּחַ,lax(u)aH
לָשׁוּט,lax(u)t
לְשׁוֹטֵט,lexot(e)t
לְהָשִׁיט,lehax(i)t
לְהִשְׁתַּוּוֹת,lehixtav(o)t
לִשְׁווֹת,lixv(o)t
לְהַשְׁווֹת,lehaxv(o)t
לְשַׁוּוֹת,lexav(o)t
לְשַׁווֵּעַ,lexav(e)a
לְהִשְׁתּוֹפֵף,lehixtof(e)f
לָשׁוּף,lax(u)f
לְהַשְׁווִיץ,lehaxv(i)tz
לְשַׁווֵּק,lexav(e)k
לָשׁוּר,lax(u)R
לְהִשְׁתַּזֵּף,lehixtaz(e)f
לִשְׁזוֹף,lixz(o)f
לִשְׁזוֹר,lixz(o)R
לְשַׁחֵד,lexaH(e)d
לְהִשְׁתַּחֲווֹת,lehixtaHav(o)t
לְהַשְׁחִיז,lehaxH(i)z
לְשַׁחְזֵר,lexaHz(e)R
לִשְׁחוֹט,lixH(o)t
לְהִישָּׁחֵט,lehixaH(e)t
לִשְׁחוֹת,lixH(o)t
לִשְׂחוֹת,lisH(o)t
לְהִשְׁתַּחֵל,lehixtaH(e)l
לְהַשְׁחִיל,lehaxH(i)l
לְהַשְׁחִים,lehaxH(i)m
לְשַׂחֵק,lesaH(e)k
לִשְׁחוֹק,lixH(o)k
לְהִישָּׁחֵק,lehixaH(e)k
לְהַשְׁחִיר,lehaxH(i)R
לְשַׁחֵר,lexaH(e)R
לְהִשְׁתַּחְרֵר,lehixtaHR(e)R
לְשַׁחְרֵר,lexaHR(e)R
לְהִישָּׁחֵת,lehixaH(e)t
לְהַשְׁחִית,lehaxH(i)t
לְשַׁחֵת,lexaH(e)t
לִשְׁטוֹחַ,lixt(o)aH
לְהִשְׁתַּטֵּחַ,lehixtat(e)aH
לְהִשְׁתַּטּוֹת,lehixtat(o)t
לְשַׁטּוֹת,lexat(o)t
לִשְׁטוֹף,lixt(o)f
לְהִישָּׁטֵף,lehixat(e)f
לְשַׁטֵּר,lexat(e)R
לָשִׂיחַ,las(i)aH
לְהָשִׂיחַ,lehas(i)aH
לְשׂוֹחֵחַ,lesoH(e)aH
לְשַׁייֵּט,lexay(e)t
לְשַׁייֵּךְ,lexay(e)H
לְהִשְׁתַּייֵּךְ,lehixtay(e)H
לָשִׂים,las(i)m
לְהָשִׂים,lehas(i)m
לְשַׁייֵּף,lexay(e)f
לָשִׁיר,lax(i)R
לְשׁוֹרֵר,lexoR(e)R
מוּשָׁר,mux(a)R
לָשׂוּשׂ,las(u)s
לְהָשִׁית,lehax(i)t
לָשִׁית,lax(i)t
לִשְׁכַּב,lixk(a)v
לְהַשְׁכִּיב,lehaxk(i)v
לְהִישָּׁכֵב,lehixaH(e)v
לִשְׁכּוֹחַ,lixk(o)aH
לְהִישָּׁכֵחַ,lehixaH(e)aH
לְהַשְׁכִּיחַ,lehaxk(i)aH
לְהִשְׁתַּכֵּחַ,lehixtak(e)aH
לָשׁוֹךְ,lax(o)H
לְשַׁכֵּךְ,lexak(e)H
לִשְׁכּוֹל,lixk(o)l
לְהַשְׂכִּיל,lehask(i)l
לְשַׁכְלֵל,lexaHl(e)l
לְהִשְׁתַּכְלֵל,lehixtaHl(e)l
לְהַשְׁכִּים,lehaxk(i)m
לִשְׁכּוֹן,lixk(o)n
לְהַשְׁכִּין,lehaxk(i)n
לְהִשְׁתַּכֵּן,lehixtak(e)n
לְשַׁכֵּן,lexak(e)n
לְשַׁכְנֵעַ,lexaHn(e)a
לְהִשְׁתַּכְנֵעַ,lehixtaHn(e)a
לְשַׁכְפֵּל,lexaHp(e)l
לִשְׂכּוֹר,lisk(o)R
לְהִישָּׂכֵר,lehisaH(e)R
לְהַשְׂכִּיר,lehask(i)R
לְהִשְׂתַּכֵּר,lehistak(e)R
לְהִשְׁתַּכֵּר,lehixtak(e)R
לְשַׁכֵּר,lexak(e)R
לְשַׁכְשֵׁךְ,lexaHx(e)H
לְהִשְׁתַּכְשֵׁךְ,lehixtaHx(e)H
לְשַׁכְשֵׁךְ,lexaHx(e)H
לְשַׁכְתֵּב,lexaHt(e)v
לְשַׁלֵּב,lexal(e)v
לְהִשְׁתַּלֵּב,lehixtal(e)v
לְהִשְׁתַּלְהֵב,lehixtalh(e)v
לְשַׁלְהֵב,lexalh(e)v
לְהִישָּׁלֵחַ,lehixal(e)aH
לְהִשְׁתַּלֵּחַ,lehixtal(e)aH
לִשְׁלוֹחַ,lixl(o)aH
לְשַׁלֵּחַ,lexal(e)aH
לִשְׁלוֹט,lixl(o)t
לְהִישָּׁלֵט,lehixal(e)t
לְהַשְׁלִיט,lehaxl(i)t
לְהִשְׁתַּלֵּט,lehixtal(e)t
לְשַׁלֵּט,lexal(e)t
לְשַׁלְטֵט,lexalt(e)t
לִשְׁלוֹת,lixl(o)t
לְהִישָּׁלוֹת,lehixal(o)t
לְהַשְׁלוֹת,lehaxl(o)t
לְהַשְׁלִיךְ,lehaxl(i)H
לְהִישָּׁלֵל,lehixal(e)l
לְהִשְׁתּוֹלֵל,lehixtol(e)l
לִשְׁלוֹל,lixl(o)l
לְהִשְׁתַּלֵּם,lehixtal(e)m
לְהַשְׁלִים,lehaxl(i)m
לְשַׁלֵּם,lexal(e)m
לִשְׁלוֹם,lixl(o)m
לְהִישָּׁלֵם,lehixal(e)m
לְהִישָּׁלֵף,lehixal(e)f
לִשְׁלוֹף,lixl(o)f
לִשְׁלוֹק,lixl(o)k
לְשַׁלֵּשׁ,lexal(e)x
לְהִשְׁתַּלְשֵׁל,lehixtalx(e)l
לְשַׁלְשֵׁל,lexalx(e)l
לְהִישָּׁמֵד,lehixam(e)d
לְהַשְׁמִיד,lehaxm(i)d
לְהִשְׁתַּמֵּד,lehixtam(e)d
לִשְׂמוֹחַ,lism(o)aH
לְשַׂמֵּחַ,lesam(e)aH
לִשְׁמוֹט,lixm(o)t
לְהִישָּׁמֵט,lehixam(e)t
לְהַשְׁמִיט,lehaxm(i)t
לְהִשְׁתַּמֵּט,lehixtam(e)t
לְהִשְׁתּוֹמֵם,lehixtom(e)m
לְהִישּׁוֹם,lehix(o)m
לְהָשֵׁם,lehax(e)m
לָשׁוֹם,lax(o)m
לְהַשְׁמִין,lehaxm(i)n
לְשַׁמֵּן,lexam(e)n
לִשְׁמוֹן,lixm(o)n
לִשְׁמוֹעַ,lixm(o)a
לְהִישָּׁמֵעַ,lehixam(e)a
לְהַשְׁמִיעַ,lehaxm(i)a
לְהִשְׁתַּמֵּעַ,lehixtam(e)a
לְהַשְׁמִיץ,lehaxm(i)tz
לְהִישָּׁמֵר,lehixam(e)R
לְשַׁמֵּר,lexam(e)R
לְהִשְׁתַּמֵּר,lehixtam(e)R
לִשְׁמוֹר,lixm(o)R
לְשַׁמֵּשׁ,lexam(e)x
לְהִשְׁתַּמֵּשׁ,lehixtam(e)x
לְהַשְׂנִיא,lehasn(i)
לִשְׂנוֹא,lisn(o)
לְשַׁנּוֹת,lexan(o)t
לְהִשְׁתַּנּוֹת,lehixtan(o)t
לִשְׁנוֹת,lixn(o)t
לְהִישָּׁנוֹת,lehixan(o)t
לְשַׁנֵּן,lexan(e)n
לְשַׁנֵּעַ,lexan(e)a
לְהִשְׁתַּנֵּק,lehixtan(e)k
לְהִישָּׁנֵק,lehixan(e)k
לְשַׁנֵּק,lexan(e)k
לְשַׁסּוֹת,lexas(o)t
לְשַׁסֵּעַ,lexas(e)a
לִשְׁסוֹעַ,lixs(o)a
לְשַׁסֵּף,lexas(e)f
לְהִשְׁתַּעְבֵּד,lehixta'ab(e)d
לְשַׁעְבֵּד,lexa'ab(e)d
לִשְׁעוֹט,lix'(o)t
לִשְׁעוֹת,lix'(o)t
לְהַשְׁעוֹת,lehax'(o)t
לְהִשְׁתַּעֵל,lehixta'(e)l
לְשַׁעְמֵם,lexa'am(e)m
לְהִשְׁתַּעְמֵם,lehixta'am(e)m
לְהַשְׁעִין,lehax'(i)n
לְהִישָּׁעֵן,lehixa'(e)n
לְשַׁעֵר,lexa'(e)R
לְהַשְׂעִיר,lehas'(i)R
לְשַׁעְשֵׁעַ,lexa'ax(e)a
לְהִשְׁתַּעְשֵׁעַ,lehixta'ax(e)a
לְשַׁעְתֵּק,lexa'at(e)k
לִשְׁפּוֹט,lixp(o)t
לְהִישָּׁפֵט,lehixaf(e)t
לְהִישָּׁפֵךְ,lehixaf(e)H
לְהִשְׁתַּפֵּךְ,lehixtap(e)H
לִשְׁפּוֹךְ,lixp(o)H
לִשְׁפּוֹל,lixp(o)l
לְהַשְׁפִּיל,lehaxp(i)l
לְהִשְׁתַּפֵּל,lehixtap(e)l
לְהִשְׁתַּפֵן,lehixtaf(e)n
לִשְׁפּוֹעַ,lixp(o)a
לְהַשְׁפִּיעַ,lehaxp(i)a
לְשַׁפֵּעַ,lexap(e)a
לְשַׁפְעֵל,lexaf'(e)l
לְהִשְׁתַּפְעֵל,lehixtaf'(e)l
לְשַׁפֵּץ,lexap(e)tz
לְשַׁפֵּר,lexap(e)R
לְהִשְׁתַּפֵּר,lehixtap(e)R
לְהַשְׁפְּרִיץ,lehaxpR(i)tz
לְשַׁפְשֵׁף,lexafx(e)f
לְהִשְׁתַּפְשֵׁף,lehixtafx(e)f
לִשְׁפּוֹת,lixp(o)t
לִשְׁפּוֹת,lixp(o)t
לִשְׁקוֹד,lixk(o)d
לְהַשְׁקִיט,lehaxk(i)t
לִשְׁקוֹט,lixk(o)t
לְהַשְׁקוֹת,lehaxk(o)t
לְהִישָּׁקֵל,lehixak(e)l
לִשְׁקוֹל,lixk(o)l
לְשַׁקְלֵל,lexakl(e)l
לְשַׁקֵּם,lexak(e)m
לְהִשְׁתַּקֵּם,lehixtak(e)m
לִשְׁקוֹעַ,lixk(o)a
לְהַשְׁקִיעַ,lehaxk(i)a
לְהִשְׁתַּקֵּעַ,lehixtak(e)a
לְהִישָּׁקֵף,lehixak(e)f
לְשַׁקֵּף,lexak(e)f
לְהִשְׁתַּקֵּף,lehixtak(e)f
לְהַשְׁקִיף,lehaxk(i)f
לָשׁוֹק,lax(o)k
לְהִשְׁתּוֹקֵק,lehixtok(e)k
לְשַׁקֵּר,lexak(e)R
לְשַׁקְשֵׁק,lexakx(e)k
לְשַׁרְבֵּב,lexaRb(e)v
לְהִשְׁתַּרְבֵּב,lehixtaRb(e)v
לְשַׁרְבֵּט,lexaRb(e)t
לְהִשְׂתָּרֵג,lehistaR(e)g
לִשְׂרוֹד,lisR(o)d
לִשְׂרוֹט,lisR(o)t
לְהִישָּׂרֵט,lehisaR(e)t
לְשַׂרְטֵט,lesaRt(e)t
לְהַשְׁרוֹת,lehaxR(o)t
לִשְׁרוֹת,lixR(o)t
לִשְׂרוֹת,lisR(o)t
לְשַׁרְייֵן,lexaRy(e)n
לִשְׂרוֹךְ,lisR(o)H
לְהִשְׂתָּרֵךְ,lehistaR(e)H
לְהִישָּׂרֵךְ,lehisaR(e)H
לְהִשְׂתָּרֵעַ,lehistaR(e)a
לִשְׂרוֹף,lisR(o)f
לְהִישָּׂרֵף,lehisaR(e)f
לִשְׁרוֹץ,lixR(o)tz
לְהַשְׁרִיץ,lehaxR(i)tz
לִשְׁרוֹק,lixR(o)k
לִשְׂרוֹר,lisR(o)R
לְהִשְׂתָּרֵר,lehistaR(e)R
לְהִשְׁתָּרֵשׁ,lehixtaR(e)x
לְהַשְׁרִישׁ,lehaxR(i)x
לְשָׁרֵשׁ,lexaR(e)x
לְשַׁרְשֵׁר,lexaRx(e)R
לְשָׁרֵת,lexaR(e)t
לִשְׁתּוֹת,lixt(o)t
לְהִישָּׁתוֹת,lehixat(o)t
לִשְׁתּוֹל,lixt(o)l
לְהִישָּׁתֵל,lehixat(e)l
לְהַשְׁתִּיל,lehaxt(i)l
לְהַשְׁתִּין,lehaxt(i)n
לְשַׁתֵּף,lexat(e)f
לְהִשְׁתַּתֵּף,lehixtat(e)f
לִשְׁתּוֹק,lixt(o)k
לְשַׁתֵּק,lexat(e)k
לְהַשְׁתִּיק,lehaxt(i)k
לְהִשְׁתַּתֵּק,lehixtat(e)k
לִשְׁתּוֹת,lixt(o)t
לְהַשְׁתִּית,lehaxt(i)t
לִתְאוֹב,lit'(o)v
לִתְאוֹם,lit'(o)m
לְתָאֵם,leta'(e)m
לְהַתְאִים,lehat'(i)m
לְתָאֵר,leta'(e)R
לְתַאֲרֵךְ,leta'aR(e)H
לְתַבֵּל,letab(e)l
לִתְבּוֹעַ,litb(o)a
לְהִיתָּבֵעַ,lehitav(e)a
לְתַגְבֵּר,letagb(e)R
לְתַגְמֵל,letagm(e)l
לְתַדְלֵק,letadl(e)k
לְתַדְרֵךְ,letadR(e)H
לִתְהוֹת,lith(o)t
לְהַתְווֹת,lehatv(o)t
לְתַווֵּךְ,letav(e)H
לָתוּר,lat(u)R
לְתַזְמֵן,letazm(e)n
לִתְחוֹב,litH(o)v
לְהִיתָּחֵב,lehitaH(e)v
לְתַחְזֵק,letaHz(e)k
לְהַתְחִיל,lehatH(i)l
לְתַחְלֵב,letaHl(e)v
לִתְחוֹם,litH(o)m
לְתַחֵם,letaH(e)m
לְתַחְמֵן,letaHm(e)n
לְתַחְקֵר,letaHk(e)R
לְתַייֵּג,letay(e)g
לְתַייֵּק,letay(e)k
לְתַייֵּר,letay(e)R
לְתַכֵּן,letak(e)n
לְהִיתָּכֵן,lehitaH(e)n
לִתְכּוֹן,litk(o)n
לְתַכְנֵן,letaHn(e)n
לְתַכְנֵת,letaHn(e)t
לִתְכּוֹף,litk(o)f
לִתְלוֹת,litl(o)t
לְהִיתָּלוֹת,lehital(o)t
לְהַתְלוֹת,lehatl(o)t
לִתְלוֹשׁ,litl(o)x
לְהִיתָּלֵשׁ,lehital(e)x
לְתַלְתֵּל,letalt(e)l
לְהַתְמִיד,lehatm(i)d
לִתְמוֹהַּ,litm(o)a
לְהַתְמִיהַּ,lehatm(i)a
לְתַמְחֵר,letamH(e)R
לְהִיתָּמֵךְ,lehitam(e)H
לִתְמוֹךְ,litm(o)H
לְתַמְלֵל,letaml(e)l
לָתוֹם,lat(o)m
לְהִיתַּמֵּם,lehitam(e)m
לְתַמְצֵת,letamtz(e)t
לְהִיתַּמֵּר,lehitam(e)R
לְתַמְרֵן,letamR(e)n
לְתַמְרֵץ,letamR(e)tz
לְהַתְנוֹת,lehatn(o)t
לְתַנּוֹת,letan(o)t
לְהַתְנִיעַ,lehatn(i)a
לְתַסְכֵּל,letask(e)l
לִתְסוֹס,lits(o)s
לְהַתְסִיס,lehats(i)s
לְתַעֵב,leta'(e)v
לְהִיתָּעֵב,lehita'(e)v
לְתַעֵד,leta'(e)d
לְתַעְדֵּף,leta'ad(e)f
לִתְעוֹת,lit'(o)t
לְהַתְעוֹת,lehat'(o)t
לְתַעֵשׂ,leta'(e)s
לְתַעְתֵּעַ,leta'at(e)a
לִתְפּוֹחַ,litp(o)aH
לְהַתְפִּיחַ,lehatp(i)aH
לְהַתְפִּיל,lehatp(i)l
לִתְפּוֹשׂ,litp(o)s
לְהִיתָּפֵשׂ,lehitaf(e)s
לְתַפְעֵל,letaf'(e)l
לְתוֹפֵף,letof(e)f
לְתַפְקֵד,letafk(e)d
לִתְפּוֹר,litp(o)R
לְהִיתָּקֵל,lehitak(e)l
לְהַתְקִיל,lehatk(i)l
לְתַקֵּן,letak(e)n
לְהַתְקִין,lehatk(i)n
לְהִיתַּקֵּן,lehitak(e)n
לְתַקְנֵן,letakn(e)n
לִתְקוֹעַ,litk(o)a
לְהִיתָּקֵעַ,lehitak(e)a
לְהַתְקִיף,lehatk(i)f
לִתְקוֹף,litk(o)f
